Date,Precip (cm),Temp (F),Height (cm),Deer,Relative Humidity (%)
2021-01,0.0,0.0,0.0,1.0,0.0
2021-02,9.67,52.55,2.02,0.0,21.6
2021-03,12.51,57.52,3.17,1.0,25.67
2021-04,12.13,68.62,2.22,2.0,21.69
2021-05,10.22,75.32,0.23,2.0,17.13
2021-06,7.66,80.19,0.0,1.0,12.39
2021-07,4.48,76.32,0.0,0.0,7.62
2021-08,1.36,81.32,0.0,0.0,2.24
2021-09,3.05,60.27,0.38,0.0,6.27
2021-10,3.12,52.11,2.66,0.0,7.2
2021-11,4.41,53.05,4.48,1.0,9.98
2021-12,7.34,41.59,11.85,2.0,20.12
2022-01,10.13,32.25,15.79,3.0,34.21
2022-02,9.79,47.84,18.44,4.0,23.6
2022-03,13.31,56.21,16.27,5.0,27.74
2022-04,14.73,67.78,11.42,6.0,26.31
2022-05,12.24,69.5,5.38,7.0,21.65
2022-06,10.15,88.64,0.0,6.0,15.09
2022-07,5.37,80.54,0.0,5.0,8.73
2022-08,4.54,73.06,0.0,4.0,7.98
2022-09,3.12,59.69,0.0,3.0,6.46
2022-10,0.0,49.87,0.0,2.0,0.0
2022-11,2.46,47.77,1.99,1.0,6.13
2022-12,5.45,37.38,7.94,1.0,16.5
2023-01,6.59,40.94,14.94,2.0,18.38
2023-02,11.8,49.57,18.31,3.0,27.42
2023-03,13.21,54.19,17.73,4.0,28.36
2023-04,11.93,69.05,13.76,5.0,21.24
2023-05,11.01,82.74,9.11,6.0,17.15
2023-06,10.0,79.94,3.48,7.0,16.05
2023-07,4.69,73.2,0.0,6.0,8.23
2023-08,2.39,83.91,0.0,5.0,3.82
2023-09,2.07,59.08,0.0,4.0,4.33
2023-10,1.23,52.72,0.0,3.0,2.84
2023-11,1.71,46.9,1.03,2.0,4.33
2023-12,6.58,35.34,6.06,1.0,20.82
2024-01,9.57,45.06,12.84,2.0,24.29
2024-02,11.81,51.04,15.06,3.0,26.79
2024-03,12.36,54.06,14.4,4.0,26.68
2024-04,13.89,64.09,10.46,5.0,26.0
2024-05,9.54,83.42,5.34,6.0,14.86
2024-06,8.69,73.88,0.0,5.0,14.88
2024-07,4.47,83.53,0.0,4.0,7.1
2024-08,3.57,75.45,0.0,3.0,6.14
2024-09,2.62,73.36,0.0,2.0,4.63
2024-10,0.0,64.69,0.0,1.0,0.0
2024-11,3.42,46.25,4.08,0.0,8.71
2024-12,6.31,37.55,12.42,1.0,18.94
2025-01,8.5,32.65,19.61,2.0,28.58
2025-02,11.9,36.3,28.15,3.0,35.99
2025-03,14.36,53.98,29.36,4.0,30.8
2025-04,12.59,69.08,26.66,5.0,22.35
2025-05,9.58,79.93,23.6,6.0,15.4
2025-06,9.76,78.51,20.25,7.0,15.9
2025-07,5.28,73.24,15.24,8.0,9.23
2025-08,1.14,64.82,8.41,9.0,2.23
2025-09,1.09,69.09,0.0,8.0,2.03
2025-10,2.98,59.86,0.0,7.0,6.15
2025-11,1.44,48.03,0.0,6.0,3.58
2025-12,4.49,31.87,0.0,5.0,15.69
2026-01,9.02,33.28,1.4,4.0,29.78
2026-02,10.6,37.2,5.18,3.0,31.55
2026-03,12.44,62.01,2.12,4.0,24.05
2026-04,12.08,59.25,0.0,3.0,24.26
2026-05,9.85,76.45,0.0,2.0,16.37
2026-06,9.47,83.35,0.0,1.0,14.76
2026-07,4.01,76.35,0.0,0.0,6.83
2026-08,4.14,82.09,0.0,0.0,6.68
2026-09,1.63,74.26,0.0,0.0,2.86
2026-10,0.0,54.24,1.09,0.0,0.0
2026-11,4.55,38.99,8.37,1.0,13.34
