threads,trials,probability,megatrails/sec
1.0,100.0,5.0,10.2
1.0,10000.0,6.11,9.98
1.0,100000.0,6.66,9.94
1.0,1000000.0,6.6,9.94
1.0,10000000.0,6.57,9.94
2.0,100.0,5.0,19.23
2.0,10000.0,6.08,19.67
2.0,100000.0,6.62,19.62
2.0,1000000.0,6.56,19.6
2.0,10000000.0,6.51,19.5
3.0,100.0,5.0,27.03
3.0,10000.0,6.04,29.26
3.0,100000.0,6.5,29.23
3.0,1000000.0,6.44,29.19
3.0,10000000.0,6.41,29.04
4.0,100.0,5.0,33.34
4.0,10000.0,5.93,38.88
4.0,100000.0,6.44,38.79
4.0,1000000.0,6.36,38.85
4.0,10000000.0,6.33,38.3
5.0,100.0,5.0,41.67
5.0,10000.0,5.83,48.29
5.0,100000.0,6.31,48.43
5.0,1000000.0,6.26,48.1
5.0,10000000.0,6.25,47.36
6.0,100.0,5.0,50.0
6.0,10000.0,5.83,57.9
6.0,100000.0,6.26,57.96
6.0,1000000.0,6.19,57.22
6.0,10000000.0,6.15,56.02
7.0,100.0,5.0,52.63
7.0,10000.0,5.74,67.61
7.0,100000.0,6.09,67.32
7.0,1000000.0,6.07,66.13
7.0,10000000.0,6.08,64.0
8.0,100.0,5.0,55.56
8.0,10000.0,5.43,71.58
8.0,100000.0,6.08,69.35
8.0,1000000.0,6.01,71.67
8.0,10000000.0,6.03,72.18
9.0,100.0,5.0,62.5
9.0,10000.0,5.48,78.19
9.0,100000.0,5.99,77.53
9.0,1000000.0,5.93,80.94
9.0,10000000.0,5.96,80.67
10.0,100.0,5.0,58.82
10.0,10000.0,5.42,85.32
10.0,100000.0,5.94,85.7
10.0,1000000.0,5.88,86.45
10.0,10000000.0,5.88,87.54
11.0,100.0,5.0,62.5
11.0,10000.0,5.52,94.34
11.0,100000.0,5.84,94.42
11.0,1000000.0,5.85,94.51
11.0,10000000.0,5.82,94.83
12.0,100.0,4.0,66.67
12.0,10000.0,5.39,101.94
12.0,100000.0,5.82,102.46
12.0,1000000.0,5.78,102.91
12.0,10000000.0,5.75,103.46
13.0,100.0,4.0,71.44
13.0,10000.0,5.29,110.38
13.0,100000.0,5.72,111.36
13.0,1000000.0,5.7,111.62
13.0,10000000.0,5.67,111.45
14.0,100.0,4.0,71.44
14.0,10000.0,5.37,119.62
14.0,100000.0,5.75,119.93
14.0,1000000.0,5.62,119.92
14.0,10000000.0,5.66,117.53
15.0,100.0,5.0,35.71
15.0,10000.0,5.21,125.94
15.0,100000.0,5.79,121.97
15.0,1000000.0,5.69,121.51
15.0,10000000.0,5.58,124.5
16.0,100.0,5.0,66.67
16.0,10000.0,5.41,71.94
16.0,100000.0,5.71,88.77
16.0,1000000.0,5.65,110.56
16.0,10000000.0,5.65,115.84
